"table_name","table_id","field_id","current_name","field_type","record_count","blank_count","nonblank_count","blank_ratio","proposed_name","action","category","reason"
"Admin Registry","tblFaJW1V2DPc9css","fldWvo4S23CwPnid0","registry_key","singleLineText","127","0","127","0",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","fldg3LmiZe61JyIMp","object_name","singleLineText","127","0","127","0",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","fldFrgaZ2b1yqiVPi","owning_table","singleLineText","127","0","127","0",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","fldvtOp7TdnRBXadU","last_reviewed_at","dateTime","127","73","54","0.5748",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","fldIalyqS4gEDHbtc","notes","multilineText","127","0","127","0",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","fldhyC1lbXosYYvjZ","created_at","dateTime","127","35","92","0.2756",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","fldU7MsB6PyUch6H1","updated_at","dateTime","127","32","95","0.252",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","fldoy2bD0o6DHlwCd","review_after","date","127","32","95","0.252",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","fldrXNA9ihR5bIJoh","retention_class","singleSelect","127","0","127","0",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","flddxw1jHHZuXdRuA","object_type","singleSelect","127","13","114","0.1024",,"no_change",,
"Admin Registry","tblFaJW1V2DPc9css","fldsjx2lBQJJsdBoa","status","singleSelect","127","0","127","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldo00PUkXIaZY7uW","decision_entry_id","singleLineText","10","0","10","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldaI0qVtfNZqfXNe","approved_rule","multilineText","10","0","10","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fld664vtczpgPDTcD","situational_rule","multilineText","10","0","10","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldHsGII6M314rMo3","workflow_impact","multilineText","10","0","10","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldv90HCZZxBtf1h9","packaging_impact","multilineText","10","0","10","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldHSC3jjNb79NBfO","source_basis","multilineText","10","0","10","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldyDa0iTDGtNaM8g","last_confirmed_text","singleLineText","10","0","10","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fld8KpTjiymqouo9I","created_at","dateTime","10","2","8","0.2",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fld2RX09cikd9yAgR","updated_at","dateTime","10","2","8","0.2",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldYK2cbss0i0yLOr","review_after","date","10","1","9","0.1",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldBSLZkxHkvdWfs3","status","singleSelect","10","0","10","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldH6sRkVniEBFlv4","retention_class","singleSelect","10","0","10","0",,"no_change",,
"dcoir-decision-policy","tblKHVXq16Xd5I31m","fldoBBSWp7jVlY4mv","decision_family","singleSelect","10","1","9","0.1",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldCWhMISlxjhfRgt","memory_entry_id","singleLineText","29","0","29","0",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldvM5eJi6Cg1nxDo","consulted_records","multilineText","29","3","26","0.1034",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldCCgIRZe3GJtqSy","selected_lane","singleLineText","29","0","29","0",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldEG3hKpPFXjLKW6","preconditions","multilineText","29","0","29","0",,"no_change",,
