table_name,table_id,view_name,filter_count,sort_count
"Work Items","tblgsQAVWvh8K7gIR","WBS09 - Active Queue","1","1"
"Work Items","tblgsQAVWvh8K7gIR","WBS09 - Blocked or Review","1","1"
"Work Items","tblgsQAVWvh8K7gIR","WBS09 - By Parent Plan","0","2"
"Session Checkpoints","tblTe75HKZOJaPDGn","WBS09 - Current Resume","1","1"
"Session Checkpoints","tblTe75HKZOJaPDGn","WBS09 - Final or Complete","1","1"
"Session Checkpoints","tblTe75HKZOJaPDGn","WBS09 - Needs Review","1","1"
"Idea Inbox","tblWwBxwrjZF6JR3r","WBS09 - Open Ideas","1","1"
"Idea Inbox","tblWwBxwrjZF6JR3r","WBS09 - Promotion Candidates","1","1"
"Idea Inbox","tblWwBxwrjZF6JR3r","WBS09 - Review Due","1","1"
"Plans","tblBcp5FyMIfOm7Xe","WBS09 - Active Plans","1","1"
"Plans","tblBcp5FyMIfOm7Xe","WBS09 - Paused or Blocked","1","1"
"Plans","tblBcp5FyMIfOm7Xe","WBS09 - Resume Detail","1","1"
"Operator Preferences","tblnxZ3eLPT3W38wl","WBS09 - Active Preferences","1","1"
"Operator Preferences","tblnxZ3eLPT3W38wl","WBS09 - Curation Review","1","1"
"Operator Preferences","tblnxZ3eLPT3W38wl","WBS09 - Review Due","1","1"
"Validation Test Cases","tblRnMpQUomIGyFVL","WBS09 - Active Tests","1","1"
"Validation Test Cases","tblRnMpQUomIGyFVL","WBS09 - Failed or Unknown","1","1"
"Validation Test Cases","tblRnMpQUomIGyFVL","WBS09 - By Execution Lane","0","2"
"Queue Control","tblf13aCslg6rJBah","WBS09 - Active Queue Control","1","1"
"Queue Control","tblf13aCslg6rJBah","WBS09 - Supersession Review","1","1"
"Queue Control","tblf13aCslg6rJBah","WBS09 - Review Due","1","1"
"Gemini Research Reference","tblfZnARJxcMJ0yHW","WBS09 - Active Findings","1","1"
"Gemini Research Reference","tblfZnARJxcMJ0yHW","WBS09 - By Research Batch Select","0","1"
"Gemini Research Reference","tblfZnARJxcMJ0yHW","WBS09 - Review Due","1","1"
"Governance Control Plane","tblDfSl29psxRnes1","WBS09 - Active Governance","1","1"
"Governance Control Plane","tblDfSl29psxRnes1","WBS09 - Startup Authority","1","1"
"Governance Control Plane","tblDfSl29psxRnes1","WBS09 - Review Due","1","1"
"Repo Surface Registry","tblzBiXp7kwTXM0ru","WBS09 - Governed Source Surfaces","1","1"
"Repo Surface Registry","tblzBiXp7kwTXM0ru","WBS09 - Replacement or Retirement","1","1"
"Repo Surface Registry","tblzBiXp7kwTXM0ru","WBS09 - Review Due","1","1"
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","WBS09 - Active Memory","1","1"
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","WBS09 - Blocker Lessons","1","1"
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","WBS09 - Review Due","1","1"
"dcoir-decision-policy","tblKHVXq16Xd5I31m","WBS09 - Active Decision Rules","1","1"
"dcoir-decision-policy","tblKHVXq16Xd5I31m","WBS09 - Approval Gate Rules","1","1"
"dcoir-decision-policy","tblKHVXq16Xd5I31m","WBS09 - Review Due","1","1"
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","WBS09 - Active Validation Gates","1","1"
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","WBS09 - Unresolved Gaps","1","1"
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","WBS09 - Review Due","1","1"
"Delete Queue","tbl1lMz5N6n7zShO0","WBS09 - Approved Pending Deletes","2","1"
"Delete Queue","tbl1lMz5N6n7zShO0","WBS09 - Not Approved or Blocked","1","1"
"Delete Queue","tbl1lMz5N6n7zShO0","WBS09 - Verified Deletes","1","1"
"Validation Evidence","tblrPFQH2uZEYBYE9","WBS09 - Recent Evidence","0","1"
"Validation Evidence","tblrPFQH2uZEYBYE9","WBS09 - Failed or Conditional","1","1"
"Validation Evidence","tblrPFQH2uZEYBYE9","WBS09 - By Work Item","0","2"
"Validation Evidence","tblrPFQH2uZEYBYE9","WBS09 - WBS09 Evidence","1","1"
