COMMAND=C:\Fixture\dcoir\out\DCOIR_FIXTURE_HOST_fixture179_t2_20260531_175810\tools\pslist64.exe -accepteula -nobanner -t
EXIT_CODE=0

STDOUT:
Process information for FIXTURE_HOST:

Name                             Pid Pri Thd  Hnd      VM      WS    Priv
Idle                               0   0  60    0       8       8      60
  System                           4   8 602 7206   15924   10716      64
    smss                        1344  11   2   58 2151734568     820    1180
    Memory Compression          4716   8 126    0 1274112 1180900    3160
Secure System                    284   8   0    0    2696   88648     172
Registry                         328   8   4    0  210256   66460   20176
csrss                           1804  13  17 1073 2151801108    4360    2892
wininit                         1908  13   2  173 2151768660    5260    1816
  LsaIso                        1436   8   3   64 4248148    1976    1344
  lsass                         1532   9  10 1973 2151851484   29456   14956
  services                      2024   9   8 1202 2151787984   10876    8652
    svchost                      852   8   4  368 2151778192    7332    2680
    spoolsv                     1976   8   7  456 2151802824    7576    6124
    svchost                     2096   8  14 1521 2151889264   41368   26072
      AcrobatNotificationClient  2992   8  25  472  528132    4392   26732
      CrossDeviceService        6036   8  21 1284 2185246328  152180   59680
      RtkAudUService64          6132   8   6  423 4367488   19388   22824
      AdobeNotificationClient   7512   8  26  493 2153315572    4416   55204
      dllhost                   9376   8   2  177 2151805308   17896    2088
      WmiPrvSE                 11796   8  10  444 2151872872   61272   56216
      unsecapp                 15072   8   3  151 2151768620   10236    6332
      unsecapp                 17196   8   3  140 2151773072   11616    2212
      RuntimeBroker            18944   8   3  269 2151816440   18948    3096
      TextInputHost            21432  13  33 1052 2153421348   88580   62356
      RuntimeBroker            21668   8   7  314 2151858684   31196    8396
      RuntimeBroker            23476   8   3  163 2151794756   13948    2564
      dllhost                  23840   8   5  230 2151826320   20568    3180
      mscopilot_proxy          24156   8   2  183 2202146828   19056    3020
      ApplicationFrameHost     25552   8  39  599 2153239608   53668   54244
      backgroundTaskHost       26028   8  14  335 2185080360    2964   18616
      WmiPrvSE                 26820   8   9  398 2151820748   39444   27184
      RuntimeBroker            28308   8  18  879 2152001392   67316   15908
      WidgetService            28992   8   5  365 2151849832   27396    5676
      SearchHost               30664   8  26 1218 2203878060  140956   87384
        msedgewebview2         21660   8  51 1271 2354474172  113892   43012
          msedgewebview2        7424   8  26  383 2303594268   39988   14760
          msedgewebview2        7708   8  10  181 2303290952   18288   10080
          msedgewebview2       13944  10  56  657 2304931156   69488  103168
