COMMAND=arp -a
EXIT_CODE=0

STDOUT:

Interface: 203.0.113.10 --- 0x3
  Internet Address      Physical Address      Type
  203.0.113.10          AA-BB-CC-DD-EE-FF     dynamic   
  203.0.113.10         AA-BB-CC-DD-EE-FF     static    
  203.0.113.10            AA-BB-CC-DD-EE-FF     static    
  203.0.113.10           AA-BB-CC-DD-EE-FF     static    
  203.0.113.10           AA-BB-CC-DD-EE-FF     static    
  203.0.113.10          AA-BB-CC-DD-EE-FF     static    
  203.0.113.10       AA-BB-CC-DD-EE-FF     static    
  255.255.255.255       AA-BB-CC-DD-EE-FF     static    


STDERR:

