COMMAND=C:\Fixture\dcoir\out\DCOIR_FIXTURE_HOST_fixture179_t2_20260531_175810\tools\pipelist64.exe -accepteula -nobanner
EXIT_CODE=0

STDOUT:
Pipe Name                                    Instances       Max Instances
---------                                    ---------       -------------
InitShutdown                                      3               -1      
lsass                                             5               -1      
ntsvcs                                            3               -1      
Winsock2\CatalogChangeListener-5fc-0              1                1      
Winsock2\CatalogChangeListener-8d4-0              1                1      
epmapper                                          3               -1      
Winsock2\CatalogChangeListener-774-0              1                1      
Winsock2\CatalogChangeListener-910-0              1                1      
LSM_API_service                                   3               -1      
{00000000-0000-0000-0000-000000000000}            1                1      
atsvc                                             3               -1      
Winsock2\CatalogChangeListener-b6c-0              1                1      
local\msgbus\bd.safepay.process.broker.pipe          5               -1      
local\msgbus\bdsafepaysrv                         8               -1      
local\msgbus\bd.process.broker.pipe               5               -1      
local\msgbus\vsserv                              28               -1      
local\msgbus\safepay.epaas                       11               -1      
FIXTURE_VENDORcert                                          1                1      
eventlog                                          3               -1      
Winsock2\CatalogChangeListener-10fc-0             1                1      
local\msgbus\bdauxsrv                            33               -1      
local\msgbus\bdwfagplg                            7               -1      
local\msgbus\bdappsrv                            16               -1      
NvMessageBusBroadcastNVIDIA.Display.Driver          7               -1      
local\msgbus\bd.app.process.broker.pipe           5               -1      
AsLdrSrv_NamedPipeCommand                         1               -1      
Winsock2\CatalogChangeListener-7b8-0              1                1      
local\epaas\device_security\bdauxsrv              9               -1      
wkssvc                                            4               -1      
FIXTURE_VENDORMigrationSrv_NamedPipeCommand                 1               -1      
dotnet-diagnostic-7608                            1               -1      
KelStartup                                        1               -1      
local\msgbus\bdvpnservice                         7               -1      
srvsvc                                            4               -1      
local\msgbus\bdnc.interceptor.vpn                 8               -1      
{00000000-0000-0000-0000-000000000000}            1                1      
NvMessageBusBroadcast                            13               -1      
00000000-0000-0000-0000-000000000000              1               -1      
local\msgbus\bdprotsrv                           10               -1      
ProtectedPrefix\LocalService\FTHPIPE              1                1      
logitech_kiros_updater                            2               -1      
local\msgbus\bdnc.interceptor.bdappsrv           11               -1      
local\msgbus\wsccommunicator                      8               -1      
{00000000-0000-0000-0000-000000000000}            1               -1      
etw_sensor_pipe_ppl                              24               -1      
{00000000-0000-0000-0000-000000000000}            1               -1      
{00000000-0000-0000-0000-000000000000}            3               -1      
00000000-0000-0000-0000-000000000000             40               -1      
local\msgbus\bdntwrk                              9               -1      
AWSession0Server                                  1                1      
PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER            1               -1      
Winsock2\CatalogChangeListener-7e8-0              1                1      
trkwks                                            3               -1      
StreamSvcPipe                                     1               16      
local\msgbus\updatesrv                           13               -1      
MsFteWds                                          8               -1      
WiFiNetworkManagerTask                            1               -1      
TermSrv_API_service                               3               -1      
Ctx_WinStation_API_service                        3               -1      
SessEnvPublicRpc                                  3               -1      
Winsock2\CatalogChangeListener-4834-0             1                1      
{00000000-0000-0000-0000-000000000000}            5               -1      
local\msgbus\epaas                               15               -1      
local\msgbus\bdnc.interceptor.vsserv             17               -1      
W32TIME_ALT                                       3               -1      
tapsrv                                            3               -1      
ROUTER                                            3               -1      
AuraPipe1                                         1                1      
NvWksServiceDdisplayPipe                          1               -1      
GameInputServiceSession-002fb19cc85ad545-00000003          1                1      
local\app_communicator\product_agent_elevated_pipe          5               -1      
local\app_communicator\product_agent_standard_pipe          5               -1      
AsMonStartupTask_NamedPipeCommand_0x3             1               -1      
dotnet-diagnostic-6036                            1               -1      
ArmouryCrateDeviceMonitor                         1                1      
3FB6A1B2-40E0-43C3-AD6D-39A499FBCFB0_3            1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.30664.35440.7905222873292169575          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\crashpad_21660_EZGPYDFQAZGPMZYI          2                2      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.40532.11176990275322017722          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.40532.11248942438087524672          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.40532.2029067963230472236          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.40532.9887312901033952067          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.36900.5656.7882242011663215917          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.21904.9148941198308502845          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.21904.4914054056257005462          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.21904.14615652776117835734          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.21904.865217839201657604          1                1      
dotnet-diagnostic-26028                           1               -1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.21904.8916861280383490278          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651\mojo.21660.21904.8084811668141316192          1                1      
AppContracts_xAD0DDFA1-260E-47DA-BEC8-54FE10A9868Ey          1                1      
local\msgbus\com.bitdefender.agent.service          5               -1      
local\msgbus\com.bitdefender.agent.service.loginui          5               -1      
dotnet-diagnostic-43848                           1               -1      
LOCAL\mojo.4996.19960.2430651814231648253          1                1      
LOCAL\mojo.4996.19960.5314080972936439780          1                1      
local\msgbus\antitracker.low\S-1-5-21-FIXTURE-SID          5               -1      
local\msgbus\aspam.actions.low\S-1-5-21-FIXTURE-SID          5               -1      
local\msgbus\bdagent\S-1-5-21-FIXTURE-SID          5               -1      
local\msgbus\explorer.actions\S-1-5-21-FIXTURE-SID          5               -1      
local\msgbus\bdagent_rift_alert_S-1-5-21-2886103784-1689756473-523553146-1001          5               -1      
WidgetsCommandPipe                                1               -1      
LOCAL\mojo.33528.35472.7088362128069351474          1                1      
crashpad_35212_OWDCKALEFZJLUESZ                   2                2      
LOCAL\mojo.35212.35008.17376269926970129414          1                1      
LOCAL\mojo.35212.35008.15797152664323601959          1                1      
LOCAL\mojo.35212.35008.9792898568876468780          1                1      
LOCAL\mojo.35212.35008.17421882094570065680          1                1      
LOCAL\mojo.35128.38384.11874125251796765959          1                1      
LOCAL\mojo.35212.28100.7852053181546212047          1                1      
LOCAL\mojo.35212.28100.12384884041221071406          1                1      
LOCAL\mojo.35212.28100.11706866431717552652          1                1      
LOCAL\mojo.35212.28100.17692075611529931132          1                1      
LOCAL\mojo.35212.28100.13804701857639908780          1                1      
LOCAL\mojo.35212.28100.10880462993707071419          1                1      
00000000-0000-0000-0000-000000000000.2            1                1      
00000000-0000-0000-0000-000000000000.1            1                1      
crashpad_35948_SIMFFKBNIQPNWDPN                   2                2      
LOCAL\mojo.35948.23744.6855094644564376273          1                1      
LOCAL\mojo.35948.23744.3884019625195033905          1                1      
LOCAL\mojo.35948.23744.18350465678652859175          1                1      
LOCAL\mojo.35948.23744.10621027288313780697          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.42056.28556.14205596402493295537          1                1      
LOCAL\mojo.external_task_manager_v2_35948          1               -1      
LOCAL\mojo.35948.23744.17045891268507672133          1                1      
LOCAL\mojo.35948.23744.13871644759155152295          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.36332.24940.15440931102155863111          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.20952.8928.5365415459502473870          1                1      
LOCAL\mojo.35948.27996.17228219412781902817          1                1      
LOCAL\mojo.35948.27996.15582918073961575571          1                1      
LOCAL\mojo.plugin_browser_pipe_Default_           1               -1      
LOCAL\mojo.35948.27996.12421839914481282376          1                1      
LOCAL\mojo.35948.27996.16134021700849468221          1                1      
LOCAL\mojo.35948.27996.13562674558706399715          1                1      
LOCAL\mojo.35948.27996.16603436499205976531          1                1      
LOCAL\mojo.35948.27996.13825937849477347973          1                1      
LOCAL\mojo.35948.27996.14001701967428752008          1                1      
LOCAL\mojo.35948.23744.8925899268975968517          1                1      
LOCAL\mojo.35948.27996.2370938553671677344          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.28788.21628.7503497569881208017          1                1      
LOCAL\mojo.35948.23744.13129583351114494670          1                1      
LOCAL\mojo.35948.27996.14739159921330859789          1                1      
LOCAL\mojo.35948.27996.11576991448021642960          1                1      
LOCAL\mojo.35948.23744.2291227978909797516          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.2860.37456.12327387638792340372          1                1      
LOCAL\mojo.35948.27996.15129145460357698901          1                1      
LOCAL\mojo.35948.27996.7305697299485496795          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.35140.25428.3224045027379396506          1                1      
LOCAL\mojo.35948.23252.5599420905903816862          1                1      
LOCAL\mojo.35948.27996.3240092850688503396          1                1      
LOCAL\mojo.35948.27996.9881475085929455310          1                1      
LOCAL\mojo.35948.27996.6388747391233434625          1                1      
LOCAL\mojo.35948.27996.12198171904598406864          1                1      
LOCAL\mojo.35948.27996.14817626611792409834          1                1      
LOCAL\mojo.35948.27996.1718483516318287805          1                1      
LOCAL\mojo.35948.23744.11652648829828163763          1                1      
LOCAL\mojo.35948.27996.13971284183455646151          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.19736.31296.7259426840465965893          1                1      
LOCAL\mojo.35948.27996.10740595382851092013          1                1      
LOCAL\mojo.35948.27996.4979635766059273420          1                1      
LOCAL\mojo.35948.27996.1635363504754364476          1                1      
LOCAL\mojo.35948.27996.2685738418163400315          1                1      
LOCAL\mojo.35948.27996.6448751424454722223          1                1      
LOCAL\mojo.35948.23744.1815715605238186082          1                1      
LOCAL\mojo.35948.23744.12844918819416851275          1                1      
LOCAL\mojo.35948.27996.13390317165060011318          1                1      
LOCAL\mojo.35948.23744.7759354279935115810          1                1      
LOCAL\mojo.35948.27996.16406606730169969843          1                1      
LOCAL\mojo.35948.23744.14085911169124813228          1                1      
LOCAL\mojo.35948.27996.17408350140755707891          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.3100.23108.17208460338964219179          1                1      
LOCAL\mojo.35948.27996.9707899870021549552          1                1      
LOCAL\mojo.35948.27996.3946839498397757916          1                1      
LOCAL\mojo.35948.27996.4235263672861525415          1                1      
LOCAL\mojo.35948.27996.17554435219775611874          1                1      
ko.collabsync.8310.b9c                            1                1      
ko.collabsync.b9c.8310                            1                1      
C:\Users\FIXTURE_USER\AppData\LocalLow\Adobe\Acrobat\DC\Acrobat\Synchronizer\Notification          3               -1      
C:\Users\FIXTURE_USER\AppData\LocalLow\Adobe\Acrobat\DC\Acrobat\Synchronizer\Commands          1               -1      
PSHost.134246165227250007.39680.DefaultAppDomain.powershell          1                1      
PSHost.134246165227754119.5008.DefaultAppDomain.powershell          1                1      
LOCAL\mojo.35948.23744.16042868494044849551          1                1      
LOCAL\mojo.35948.27996.16684212855800788046          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.29296.17428.7390013906872583090          1                1      
LOCAL\mojo.35948.27996.11658832912052601220          1                1      
LOCAL\mojo.35948.27996.4048622306691705708          1                1      
LOCAL\mojo.35948.27996.15345916976303220582          1                1      
LOCAL\mojo.35948.27996.3090416722890334717          1                1      
LOCAL\mojo.35948.23744.8389251373514095731          1                1      
LOCAL\mojo.35948.27996.17263857535463143280          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.9080.29520.1086782374784958192          1                1      
LOCAL\mojo.35948.27996.983273227771726568          1                1      
LOCAL\mojo.35948.27996.14654254657459642721          1                1      
LOCAL\mojo.35948.27996.116436946805240418          1                1      
LOCAL\mojo.35948.27996.3001869951109028085          1                1      
LOCAL\mojo.35948.27996.1285200123597689694          1                1      
LOCAL\mojo.35948.27996.13130095874600610486          1                1      
LOCAL\mojo.35948.23744.9459497357076548182          1                1      
LOCAL\mojo.35948.27996.8066921134713009824          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.22028.24240.249253004881418037          1                1      
LOCAL\mojo.35948.27996.1292063045594503925          1                1      
LOCAL\mojo.35948.27996.8130624761691373894          1                1      
LOCAL\mojo.35948.27996.7820033115170322434          1                1      
logitech_kiros_agent-d863b97569f1157bb12449841a97fc22          1               -1      
00000000-0000-0000-0000-000000000000              1               -1      
00000000-0000-0000-0000-000000000000              1               -1      
LOCAL\mojo.10156.10656.9100692063010424481          1                1      
crashpad_37036_CYEKMCFWYGCNQJYL                   2                2      
LOCAL\mojo.37036.40600.15041076766785892175          1                1      
LOCAL\mojo.37036.40600.15268366700701129137          1                1      
LOCAL\mojo.37036.40600.13715969294327728560          1                1      
LOCAL\mojo.37036.40600.16982366933439572872          1                1      
LOCAL\mojo.37036.33684.16995323642142070623          1                1      
LOCAL\mojo.37036.33684.13413501872338572238          1                1      
LOCAL\mojo.37036.33684.8724789278770098928          1                1      
LOCAL\mojo.20892.24052.1895139826138002137          1                1      
LOCAL\mojo.37036.33684.13843698265327654402          1                1      
LOCAL\mojo.35948.23744.17104473988121369045          1                1      
LOCAL\mojo.35948.27996.10004669037311059068          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.21204.21028.8363467251613038942          1                1      
LOCAL\mojo.35948.27996.3286097211036785522          1                1      
LOCAL\mojo.35948.27996.18428527377778373233          1                1      
LOCAL\mojo.35948.27996.558713077799902034          1                1      
LOCAL\mojo.35948.27996.14430633422011327168          1                1      
F7C71944B49B446081C0603DE90E4855_OUT              1                1      
LOCAL\mojo.35948.23744.17213834718414240864          1                1      
LOCAL\mojo.35948.27996.18133889907436410419          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.43020.40292.1094337646437789703          1                1      
LOCAL\mojo.35948.27996.13227402522683428552          1                1      
LOCAL\mojo.35948.27996.3446331094175136748          1                1      
LOCAL\mojo.35948.23744.3783697523934912697          1                1      
